year,site_name,site_type,forest_cover_2000,loss_year,cumulative_loss_by_year,ndvi_mean,nighttime_lights_mean,likely_land_cover
2000,pasture_site_3,pasture,28.47842365411101,2,69124,0.6882999192747945,,vegetation
2001,pasture_site_3,pasture,28.47842365411101,2,69124,0.6775042658584385,,vegetation
2002,pasture_site_3,pasture,28.47842365411101,2,69124,0.6857201662780326,,vegetation
2003,pasture_site_3,pasture,28.47842365411101,2,69124,0.6643171759079298,,vegetation
2004,pasture_site_3,pasture,28.47842365411101,2,69124,0.6302632909856813,,vegetation
2005,pasture_site_3,pasture,28.47842365411101,2,69124,0.6312300365283946,,vegetation
2006,pasture_site_3,pasture,28.47842365411101,2,69124,0.6409569171879465,,vegetation
2007,pasture_site_3,pasture,28.47842365411101,2,69124,0.6612073169255931,,vegetation
2008,pasture_site_3,pasture,28.47842365411101,2,69124,0.6548217562290275,,vegetation
2009,pasture_site_3,pasture,28.47842365411101,2,69124,0.6875945633019874,,vegetation
2010,pasture_site_3,pasture,28.47842365411101,2,69124,0.6150859653997713,,vegetation
2011,pasture_site_3,pasture,28.47842365411101,2,69124,0.642136755113171,,vegetation
2012,pasture_site_3,pasture,28.47842365411101,2,69124,0.664181965802168,0.0,vegetation
2013,pasture_site_3,pasture,28.47842365411101,2,69124,0.6860537487064261,0.0,vegetation
2014,pasture_site_3,pasture,28.47842365411101,2,69124,0.6609988083934945,0.07965070551533784,vegetation
2015,pasture_site_3,pasture,28.47842365411101,2,69124,0.6736903588483404,0.1083461623396023,vegetation
2016,pasture_site_3,pasture,28.47842365411101,2,69124,0.7020502671807612,0.11064212221655811,vegetation
2017,pasture_site_3,pasture,28.47842365411101,2,69124,0.6522640582478662,0.33704800877284974,vegetation
2018,pasture_site_3,pasture,28.47842365411101,2,69124,0.6501558330889564,0.29606300282646414,vegetation
2019,pasture_site_3,pasture,28.47842365411101,2,69124,0.6850206232173388,0.2518646979971962,vegetation
2020,pasture_site_3,pasture,28.47842365411101,2,69124,0.6728661352815097,0.3550544177684977,vegetation
2021,pasture_site_3,pasture,28.47842365411101,2,69124,0.6592382120453836,0.24185755987322233,vegetation
2022,pasture_site_3,pasture,28.47842365411101,2,69124,0.6465964304223067,,vegetation
2023,pasture_site_3,pasture,28.47842365411101,2,69124,0.6621324756278704,,vegetation
