year,site_name,site_type,forest_cover_2000,loss_year,cumulative_loss_by_year,ndvi_mean,nighttime_lights_mean,likely_land_cover
2000,farm_site_3,farm,20.6228493132792,1,28645,0.4982074376817289,,mixed
2001,farm_site_3,farm,20.6228493132792,1,28645,0.5660673260897042,,vegetation
2002,farm_site_3,farm,20.6228493132792,1,28645,0.538783393744658,,vegetation
2003,farm_site_3,farm,20.6228493132792,1,28645,0.5601420995058144,,vegetation
2004,farm_site_3,farm,20.6228493132792,1,28645,0.5218875408650253,,vegetation
2005,farm_site_3,farm,20.6228493132792,1,28645,0.5319467555557064,,vegetation
2006,farm_site_3,farm,20.6228493132792,1,28645,0.5663082740928985,,vegetation
2007,farm_site_3,farm,20.6228493132792,1,28645,0.5426612115289229,,vegetation
2008,farm_site_3,farm,20.6228493132792,1,28645,0.5605835402460014,,vegetation
2009,farm_site_3,farm,20.6228493132792,1,28645,0.5960047257007244,,vegetation
2010,farm_site_3,farm,20.6228493132792,1,28645,0.5372949851323665,,vegetation
2011,farm_site_3,farm,20.6228493132792,1,28645,0.545830970225122,,vegetation
2012,farm_site_3,farm,20.6228493132792,1,28645,0.5730456385684785,0.0,vegetation
2013,farm_site_3,farm,20.6228493132792,1,28645,0.5703530610761567,0.0,vegetation
2014,farm_site_3,farm,20.6228493132792,1,28645,0.5480552657855774,1.893002411849483,vegetation
2015,farm_site_3,farm,20.6228493132792,1,28645,0.5731781449430206,1.8842812099982762,vegetation
2016,farm_site_3,farm,20.6228493132792,1,28645,0.5731840072259801,1.9642083181574872,vegetation
2017,farm_site_3,farm,20.6228493132792,1,28645,0.5608036806679042,1.6715851838358484,vegetation
2018,farm_site_3,farm,20.6228493132792,1,28645,0.5911059467917535,1.9293290529877036,vegetation
2019,farm_site_3,farm,20.6228493132792,1,28645,0.5818557478754666,2.1191549527748514,vegetation
2020,farm_site_3,farm,20.6228493132792,1,28645,0.5524440199839465,2.2822356243629325,vegetation
2021,farm_site_3,farm,20.6228493132792,1,28645,0.5548098504395427,2.259311958526391,vegetation
2022,farm_site_3,farm,20.6228493132792,1,28645,0.570587308919151,,vegetation
2023,farm_site_3,farm,20.6228493132792,1,28645,0.5981424531888796,,vegetation
