year,site_name,site_type,forest_cover_2000,loss_year,cumulative_loss_by_year,ndvi_mean,nighttime_lights_mean,likely_land_cover
2000,pasture_site_2,pasture,70.39831092047362,24,135546,0.6908932873441083,,vegetation
2001,pasture_site_2,pasture,70.39831092047362,24,135546,0.6837629501860208,,vegetation
2002,pasture_site_2,pasture,70.39831092047362,24,135546,0.7079309682460275,,vegetation
2003,pasture_site_2,pasture,70.39831092047362,24,135546,0.6851797279789278,,vegetation
2004,pasture_site_2,pasture,70.39831092047362,24,135546,0.700466058924482,,vegetation
2005,pasture_site_2,pasture,70.39831092047362,24,135546,0.7066901666435661,,vegetation
2006,pasture_site_2,pasture,70.39831092047362,24,135546,0.6782541165133242,,vegetation
2007,pasture_site_2,pasture,70.39831092047362,24,135546,0.6827856911948923,,vegetation
2008,pasture_site_2,pasture,70.39831092047362,24,135546,0.6525638570961111,,vegetation
2009,pasture_site_2,pasture,70.39831092047362,24,135546,0.6961765403010782,,vegetation
2010,pasture_site_2,pasture,70.39831092047362,24,135546,0.7056123960629908,,vegetation
2011,pasture_site_2,pasture,70.39831092047362,24,135546,0.7083071114553798,,vegetation
2012,pasture_site_2,pasture,70.39831092047362,24,135546,0.7079824132763748,0.0,vegetation
2013,pasture_site_2,pasture,70.39831092047362,24,135546,0.7028849160647028,0.0,vegetation
2014,pasture_site_2,pasture,70.39831092047362,24,135546,0.6763289120259038,0.09449096287509953,vegetation
2015,pasture_site_2,pasture,70.39831092047362,24,135546,0.731288655113555,0.135583105849389,vegetation
2016,pasture_site_2,pasture,70.39831092047362,24,135546,0.7214843304342063,0.06508159130167694,vegetation
2017,pasture_site_2,pasture,70.39831092047362,24,135546,0.7072840102916093,0.2766944594501518,vegetation
2018,pasture_site_2,pasture,70.39831092047362,24,135546,0.6991704873876657,0.27239993143845637,vegetation
2019,pasture_site_2,pasture,70.39831092047362,24,135546,0.6955601828179566,0.21984440250326553,vegetation
2020,pasture_site_2,pasture,70.39831092047362,24,135546,0.6904507318773143,0.30021245589165835,vegetation
2021,pasture_site_2,pasture,70.39831092047362,24,135546,0.7057022358783688,0.24793047178977753,vegetation
2022,pasture_site_2,pasture,70.39831092047362,24,135546,0.6921007664141519,,vegetation
2023,pasture_site_2,pasture,70.39831092047362,24,135546,0.7277249329459597,,vegetation
